time,export_node_162,export_node_130,export_node_68,export_node_100,export_node_6,export_node_98,export_node_137,export_node_170,export_node_172,export_node_108,export_node_111,export_node_144,export_node_112,export_node_146,export_node_19,export_node_85,export_node_154,export_node_59,export_node_124,export_node_127
2012-01-02 06:00:00,155.364044,30.147381,23.104025,-259.652063,-785.158725,146.158985,40.423718,-1216.236898,308.138517,-17.526800,-2036.819914,-81.851000,91.215440,-834.565128,60.920087,-59.748100,-1422.607287,28.037562,71.084210,53.421835
2012-01-02 07:00:00,168.293694,26.095322,22.439411,-255.961723,-757.564757,116.770554,38.010397,-1420.673920,347.348045,-19.507500,-2328.651680,861.083558,-10.795700,-945.585917,118.299755,196.793504,-1575.381147,19.017879,65.118139,-9.060500
2012-01-02 08:00:00,70.937249,19.419484,18.934568,-210.391686,-883.264205,150.909998,42.340240,-1451.944317,440.296889,-21.144000,-2578.495142,748.855348,-11.701400,-1032.226031,155.226181,222.784349,-1783.580662,4.911802,172.764282,-9.866700
2012-01-02 09:00:00,80.316710,27.864869,57.323082,-143.269545,-1091.294096,229.799465,47.661861,-1445.054630,540.215937,-22.319800,-2735.809942,872.310269,-12.352000,-1050.059019,118.486991,112.224511,-1889.534586,25.780840,192.454630,-10.955800
2012-01-02 10:00:00,90.668087,33.981229,69.883763,-136.629759,-1249.201533,229.537142,48.914523,-1320.983951,666.761337,-22.575200,-2777.485508,1052.908092,-12.493400,-1024.226337,71.387405,132.144200,-1898.944405,43.621211,173.248444,-11.507500
2012-01-02 11:00:00,134.195274,44.392950,67.145449,-102.197220,-1347.118110,296.223146,58.896084,-2161.038200,-47.947000,-22.449900,-2732.080765,-104.842300,-12.424100,-1019.525548,121.212650,204.664289,-1821.713245,25.465877,260.048921,-11.766600
2012-01-02 12:00:00,-36.445700,54.275794,78.573397,-4.525158,-1396.127146,317.824689,60.980352,-1254.508936,981.675967,-22.495000,-2717.064411,-105.052600,88.847321,-1404.440800,178.631083,-76.684300,-1939.783600,90.299951,402.707594,-11.895500
2012-01-02 13:00:00,133.603037,100.499252,66.609185,67.211482,-1344.106822,259.228191,58.502692,-2105.771100,-46.720800,-21.875800,-2667.686583,-102.161000,61.327743,-987.150927,207.027476,-74.573600,-1886.391200,31.729139,304.899569,66.451704
2012-01-02 14:00:00,116.489353,96.750629,51.025107,92.271412,-1366.193594,263.852508,66.205818,-1568.054551,-45.682400,-21.389600,-2605.561314,-99.890500,38.070136,-959.647001,252.272695,-72.916200,-1844.466000,85.358699,249.712871,71.169658
2012-01-02 15:00:00,100.721624,79.775094,55.451394,77.843159,-1405.368339,206.465423,60.090733,-2042.986000,-45.327800,-21.223600,-2619.523923,-99.115000,-11.745400,-1311.220666,166.752335,473.206438,-1830.147100,28.734597,259.027948,-11.490200
2012-01-02 16:00:00,47.667978,79.267604,19.681915,20.034002,-985.583826,107.645331,59.123414,-1621.506138,587.887257,-21.742100,-2734.647392,921.280449,-12.032400,-1166.341092,27.946300,353.014213,-1828.628860,20.101042,249.894331,-11.475800
2012-01-02 17:00:00,50.513378,72.348467,-19.238751,-62.083341,-996.632930,44.261716,57.857206,-2019.618625,447.768020,207.140502,-2951.492330,677.770532,6.764477,-1315.295542,140.076640,216.414398,-1987.657912,15.508430,211.869711,6.793693
2012-01-02 18:00:00,37.831563,72.342808,-38.698458,-116.178218,-1183.937545,9.817928,1588.427378,-2127.521887,1503.616033,159.896498,-3019.400058,495.395624,-3.456855,-1391.139502,718.958312,73.680682,-2012.038482,9.294042,2216.420281,-12.765500
2012-01-02 19:00:00,220.455486,72.394644,-50.454637,-170.447627,-1234.246533,1.964612,2131.635543,-2089.219173,1451.204927,128.113633,-2995.063806,1389.181161,-0.771008,-1413.671834,681.181072,27.929099,-2031.806708,4.292569,2134.974018,-5.363141
2012-01-02 20:00:00,1944.746588,40.454656,-54.729756,-203.680457,-1247.971198,12.832093,2132.759183,-2183.949785,1403.672760,93.646842,-2955.070590,1757.959902,-5.852754,-1414.434361,664.414257,-1.544233,-2058.715099,-4.451722,2100.032944,-5.009769
2012-01-02 21:00:00,1937.679073,10.916028,-51.877195,-124.416095,-1197.730515,25.340727,2122.986075,-2002.816651,1261.390144,42.362636,-2862.769264,1695.817178,1.316776,-1354.890600,645.439079,-30.031938,-1970.079045,-11.691576,2047.410503,240.435907
